Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
HUDSCD010,Various,Hardcore Underground Presents: Live At Rehab,Hardcore Underground,"4xCD, Mixed, Dou",,2014,6171390,,2017-07-14 15:16:10
HUDSCD011,Various,DJ Tools Vol 2,Hardcore Underground,"CD, Comp, Dig",,2014,5988962,,2018-11-22 16:19:21
HUDSCD015,Various,Happy Hardcore Underground,Hardcore Underground,"CD, Comp, Dou + 2xCD, Mixed",,2014,6275404,,2017-07-14 16:14:14
HULTDCD005,Various,Hardcore Underground EP Vol 2,Hardcore Underground,"CD, EP, Comp, Promo",,2012,3883017,,2018-02-23 16:33:53
HULTDCD009,Fracus & Darwin,The Theory Of Revolution – Selected Tracks 2009-2014,Hardcore Underground,"CD, Comp, Mixed",,2014,6743838,,2017-07-14 15:17:23
HULTDCD010,Various,Hardcore Underground EP Vol 5,Hardcore Underground,"CD, EP, Comp, Promo",,2015,7876642,,2018-10-21 11:45:00
none,Various,"Hullabaloo! - Back & Forth - Saturday Dec. 11, 2004",Hullabaloo! (2),"DVD-A, Mixed, Unofficial",,2004,4850619,,2017-12-20 14:05:29
none,Various,"Hullabaloo! - Sail Away - Sat. Apr. 17th, 2004",Hullabaloo! (2),"DVD-A, Mixed, Unofficial",,2004,4850782,,2017-12-20 14:05:40
none,Various,"Hullabaloo! - Pacific Sun - Saturday Feb 5th, 2005",Hullabaloo! (2),"DVD-A, Mixed, Unofficial",,2005,4850748,,2017-12-20 14:05:48
none,Various,"Hullabaloo! - One More Group Hug - Saturday July 14, 2007",Hullabaloo! (2),"DVD-A, Mixed, Unofficial",,2007,4850721,,2017-12-20 14:05:53
none,Various,"Hullabaloo! - Funtopia: 7 - Celebrating 7 Years! - Sat, July 3rd, 2004",Hullabaloo! (2),"DVD-A, Mixed, Unofficial",,2004,4850703,,2017-12-20 14:06:00
none,Various,"Hullabaloo! - Drift On A Dream - Saturday Sept 18th, 2004",Hullabaloo! (2),"DVD-A, Mixed, Unofficial",,2004,4850664,,2017-12-20 14:06:02
none,Dr D-Lorean,DJ Mix CD,Hydrogen Dukebox,"CDr, Mixed, Promo",,0,1224566,,2014-12-03 23:17:07
IO-5103,Albatrosicks,Shining Space Debris 2015,IOSYS,"CD, MiniAlbum",,2015,12050819,,2018-07-03 15:11:43
KZON-001,moro,Catcher To TreasureShip,Kinzok On,"CDr, Album",,2009,2683048,,2018-01-22 16:38:12
none,moro,Halloween Is Dead EP,Kinzok On,"CDr, EP",,2010,2611545,,2012-08-14 00:27:42
KZFR-001,Moro / Nam5,やみなべ！！-Yaminabe Hardcore-,"Kinzok On, Fox Ravel","CDr, Album",,2010,2279710,,2012-08-14 00:27:36
KwaK 023,Yuri Lugovskoy,Suburban Bushmen,Kwark Records,"CDr, Ltd",,2007,2308406,,2017-12-06 17:13:01
